Fleet,SailNo,HelmName,HelmAgeGroup,HelmSex,Code,Race
Pro,68,Allan Cross,M,M,ATT,7
Pro,63,Dave White,V,M,ATT,7
Pro,81,Jack Bassett,U20,M,ATT,7
Pro,939,James Battye,U20,M,ATT,7
Pro,659,James Dinsmore,-,M,ATT,7
Pro,766,Jason Hill,M,M,ATT,7
Pro,33,Jim Crossley,M,M,ATT,7
Pro,82,Kevin Greenslade,M,M,ATT,7
Pro,427,Leigh Kingaby,-,M,ATT,7
Pro,888,Michael George,M,M,ATT,7
Pro,945,Nick Welsh,-,M,ATT,7
Pro,97,Paul Sibley,-,M,ATT,7
Pro,100 ir,Pearse Geaney,-,M,ATT,7
Pro,468,Scotty Stallman,U17,M,ATT,7
Pro,630,Shaun Cook,-,M,ATT,7
Pro,78,Tim Frampton,M,M,ATT,7
Pro,40,Tim Gibson,M,M,ATT,7
